#Menu	#Menu
User =	Felhasználó 
Rule name already exists! =	A szabály neve  már  létezik!
You should not delete default rule! =	  Ne  törölje  az alapértelmezett  szabályt!
Rule list contains invalid rule setting! =	A szabálylista  érvénytelen  szabálybeállítást tartalmaz !   
Duplicate rule name exists! =	Ismétlõdõ szabálynév    létezik!
via diameter is smaller than via drill diameter! =	átmérõje  kisebb,    mint  a  fúró  átmérõje!
Currently rule name is not allowed to contain magical characters like . and $ =	Jelenleg a  szabálynév   nem    tartalmazhat  olyan mágikus  karaktereket,  mint a .   és $ 
[drcRule]	[drcRule]
All =	Minden 
[/drcRule]	[/drcRule]
	
#Dialog Hotkey	#Dialog gyorsbillentyû
Change Canvas Unit =	Vászonegység  módosítása 
Copy Selected Object(s) by Reference Point =	Kijelölt objektum(ok)  másolása hivatkozási  pont szerint    
Fullscreen =	Teljes képernyõ 
Undo the Previous Draw =	Az  elõzõ  sorsolás visszavonása  
Set Canvas Origin by Coordinate =	Vászon  eredetének beállítása koordináta  szerint  
Switch to the Next Signal Layer =	Váltás a  következõ  jelrétegre      
Switch to the Previous Signal Layer =	Váltás az  elõzõ  jelrétegre      
Switch object to top layer or bottom layer =	Objektum váltás felsõ  rétegre  vagy  alsó  rétegre    
Cycle Forward to the Next Open Tabbed Document =	Ciklus elõre    a  következõ  nyitott  füles  dokumentum  
Cycle Backward to the Previous Open Tabbed Document =	Ciklus vissza  az    elõzõ  nyitott  füles  dokumentum  
Switch to the Previous Layer(on the Numeric Keypad) =	Váltás az  elõzõ  rétegre  (a   numerikus billentyûzeten)  
Switch to the Next Layer(on the Numeric Keypad) =	Váltás a  következõ  rétegre  (a  numerikus  billentyûzeten)  
Toggle Layers Which is Not Active =	Nem  aktív  rétegek    váltása  
Hotkey Setting =	Gyorsbillentyû beállítása  
Document Type =	Dokumentum típusa  
Shortcut =	Parancsikon 
Function =	Függvény 
ALL =	ALL 
SCH =	SCH 
Rotate Selected Objects =	Kijelölt  objektumok elforgatása 
Scroll or Move Selected Left =	Kijelölt  balra görgetés vagy  áthelyezés  
Scroll or Move Selected Right =	Görgetés  vagy  áthelyezés  jobbra  
Scroll or Move Selected Up =	Görgetés  vagy  Áthelyezés  Felfelé  
Scroll or Move Selected Down =	Görgetés vagy  Áthelyezés  Lefelé  
"Set canvas origin to the center grid of graphics in symbol; Set canvas origin to the center of pads in footprint. ="	"Állítsa a vászon  eredetét    a grafika  középsõ  rácsára   a szimbólumban  ; Állítsa a  vászon eredetét    a lábnyombanlévõ párnák   közepére .  "
Cross Document Paste =	Dokumentumközi  beillesztés  
Explore & Find Components =	Fedezze fel és  keresse meg az összetevõket  
Select All =	Válassza az Összes  
Cancel Current Drawing =	Aktuális  rajz megszakítása 
Save =	Mentés 
Drag Tool =	Húzás eszköz  
Draw Wire =	Rajzolás Huzal  
Draw Bus =	Busz rajzolása  
Bus Entry =	Buszbelépõ  
Junction =	Elágazás 
Net Flag GND =	Nettó zászló  GND 
Net Flag =	Nettó zászló  
Draw Polyline =	Vonallánc  rajzolása 
Draw Polygon =	Rajzolás sokszög  
Draw Bezier =	Rajzolás Bezier  
Draw Arc =	Ív rajzolása 
Draw Rect =	Egyenes rajz 
Draw Ellipse =	Ellipszis rajzolása 
Freehand Draw =	Szabadkézi sorsolás  
Freedraw =	Freedraw 
Draw Text =	Szöveg rajzolása 
Edit Selected Symbol =	Kijelölt  szimbólum szerkesztése 
Draw Track =	Sáv rajzolása  
Draw Circle =	Kör rajzolása 
Cycle Select Object at Current Location =	Ciklus kijelölése  Objektum  az  aktuális  helyen  
Draw Dimension =	Rajzolás dimenzió  
Draw Connect =	Draw Connect  
Draw CopperArea =	Rajzolás CopperArea  
"Change to TopLayer;<br/>Change Selected Component's Layer to TopLayer; ="	"Váltás   TopLayer;<br/>A kijelölt összetevõ rétegének   módosítása  TopLayer értékre ; "
"Change to BottomLayer;<br/>Change Selected Component's Layer to BottomLayer; ="	"Váltás   BottomLayer;<br/>A kijelölt összetevõ rétegének   módosítása  BottomLayer értékre ; "
Change to Inner1 =	Váltás Belsõ1  
Change to Inner2 =	Váltás   Belsõ2 
Change to Inner3 =	Váltás   Belsõ3 
Change to Inner4 =	Váltás   Belsõ4 
Highlight Net =	Háló kiemelése 
Place Pad =	Hely pad 
Place Via =	Hely Via  
Measure =	Mérték 
Change Routing Angle =	Útválasztási  szög módosítása 
Change Routing Conflict =	Útválasztási  ütközés módosítása 
Decrease Routing Width =	Útválasztási  szélesség csökkentése 
Increase Routing Width =	Útválasztási  szélesség növelése 
Decrease Snap Size =	Illesztett   méret csökkentése 
Increase Snap Size =	Illesztett   méret növelése  
Change Copper Zone Visible or Invisible =	A    rézzóna látható vagy   láthatatlan módosítása 
Rebuild All Copper Area =	Az összes  rézterület   újraépítése 
Toggle PCB Net Display =	A PCB net kijelzõ 
"Show Attribute Dialog When Placing Object;<br/>Show Location Setting Dialog When Pasting Object(s) ="	"Attribútum  párbeszédpanel megjelenítése objektum elhelyezésekor   ;<br/>A  helybeállítás    párbeszédpanel  beillesztésekor    Objektum(ok) "
"Show Attribute Dialog When Placing Object;<br/>Show Absolute Offset Dialog When Selecting Object(s);<br/>Show Location Setting Dialog When Pasting Object(s) ="	"Attribútum  párbeszédpanel megjelenítése objektum elhelyezésekor   ;<br/>Az  abszolút  eltolási  párbeszédpanel    kiválasztásakor  objektum(s);<br/>Show  helybeállítás    párbeszédpanel    beillesztéskor  Objektum(ok) "
Show Relative Offset Dialog When Selecting Object(s) =	Relatív  eltolási  párbeszédpanel megjelenítéseobjektum(ok) kijelölésekor    
Open the FAQ Page =	A   GYIK oldal megnyitása 
Move Object(s) by Reference Point =	Objektum(ok)áthelyezése  hivatkozási  pont szerint  
Choose Favorite Track Width While Routing =	Válassza a Kedvenc  sávszélesség kiválasztása útválasztás  közben    
Copy Selected Object(s) and Paste Repeatedly =	Kijelölt objektum(ok) másolása és  Beillesztés  többször    
	
#My Projects Tree Menu	#My projektek  famenüje  
New Project =	Új projekt 
New Schematic =	Új vázlat  
New PCB =	Új PCB 
New Spice Subckt =	Új Spice  Subckt  
Modify =	Módosítás 
Delete =	Törlés 
Add sub part =	Alrész hozzáadása 
Clone =	Klón 
Version History =	Verzióelõzmények  
Refresh List =	Frissítési lista 
Create New Project =	Új projekt létrehozása 
Delete =	Törlés 
Attachment =	Melléklet 
Archive =	Archívum 
Transfer =	Átvitel 
Manage Project =	Projekt kezelése 
	
#Dialog Verify Package	#Dialog Csomag ellenõrzése
Footprints Verification =	Lábnyomok ellenõrzése  
	
#Dialog Edit Polygon Pad points	#Dialog Sokszög  padpontok   szerkesztése
Edit Points =	Pontok szerkesztése 
Center point is outside the pad =	A középpont  a padon kívül  van  
Hole should be inside the pad =	A lyuknak  a  pad belsejében kell lennie 
Hole is draggable =	A lyuk húzható  
	
#My Part Tree Menu	#My részfa  menü
Clone =	Klón 
Reload parts =	Alkatrészek   újratöltése 
Layers =	Rétegek 
	
#Dialog Preferences	#Dialog beállítások
Language =	Nyelv 
Display Name =	Megjelenítendõ név  
HotKey Sync =	Gyorsbillentyû szinkronizálás  
My Theme Sync =	Saját téma  szinkronizálás  
Document Recovery Setting =	Dokumentum-helyreállítási  beállítás  
Enable auto backup =	Automatikus  biztonsági mentés engedélyezése 
Maximum backup level =	Maximális biztonsági mentési szint  
Auto backup interval =	Automatikus biztonsági mentési  idõköz  
minutes =	perc 
Save to Server =	Mentés a kiszolgálóra  
Load from Server =	Betöltés a kiszolgálóról  
	
	
#Dialog Schematic Library Wizard	#Dialog sematikus  tár  varázsló
Symbol Wizard =	Szimbólum varázsló  
Style =	Stílus 
Picture =	Kép 
Pin Names =	Pin nevek  
Contributor =	Közremûködõ 
contributor =	közremûködõ 
owner =	tulajdonos 
	
#Dialog Annotate	#Dialog jegyzet
Annotate =	Jegyzet 
Scope =	Hatály 
Active Schematic only =	Csak aktív sematikus  
All Opened Schematics =	Minden megnyitott  vázlat  
Method =	Módszer 
Re-annotate all =	Az összes újrajegyzetesítõ  
Keep existing annotation =	Tartsa meg a meglévõ  megjegyzéseket  
Direction =	Irány 
Rows =	Sorok 
Cols =	Bérletek 
Reset =	Visszaállítás 
	
#Dialog Order	#Dialog rend
Order... =	Rendelés... 
PCB Qty. =	PCB Qty. 
PCB Thickness =	PCB vastagság  
PCB Dimension =	PCB dimenzió  
Automatic calculation =	Automatikus számítás  
PCB Color =	PCB szín  
Green =	Zöld 
White =	Fehér 
Blue =	Kék 
Red =	Piros 
Yellow =	Sárga 
Black =	Fekete 
Purple =	Lila 
Copper =	Réz 
Gold =	Arany 
Silver =	Ezüst 
Surface Finish =	Felületi befejezés  
Hasl =	Hasl 
Hasl(Lead Free) =	Hasl(Ólommentes) 
ENIG =	CSAK 
	
#Dialog Hot Key config	#Dialog gyorsbillentyû-konfiguráció
Restore All Default Shortcuts =	Az összes  alapértelmezett  parancsikon visszaállítása  
Save Changes =	Módosítások mentése 
	
	
	
#Dialog Polyline Maybe Wire	#Dialog vonallánc  talán  drót
To connect electrical elements, please use Wire (W hotkey) and not Line (L hotkey). =	Az elektromos  elemek  csatlakoztatásához használja  a  Huzalt  (W  gyorsbillentyû)és  ne a Sort (L  gyorsbillentyû).
	
Anonymous File =	Névtelen fájl 
Anonymous File can not be cloned, but you can open it, then save it as a new file. =	Névtelen fájl    nem klónozható,  de     megnyithatja    ,  majd  mentheti   új    fájlként  
Free Documents =	Ingyenes dokumentumok  
You must close the file before delete it! =	A törlés   elõtt be kell  zárnia  a  fájlt !
Offline Project =	Offline projekt 
	
#Message box	#Message doboz
Confirmation =	Megerõsítés 
Alert =	Riasztás 
Information =	Információ 
information =	információ 
Prompt =	Prompt 
Error =	Hiba 
error =	hiba 
error! =	hiba! 
Warning =	Figyelmeztetés 
Imported ok! =	Importált ok! 
Some changes have not been saved. =	Néhány módosítás    nem ment menthetõ  . 
Your file hasn't been saved. Please save first! =	A fájl  nem ment mentve.   Kérjük,  mentse  elõször!
Your file hasn't been saved. Are you sure you want to close it? =	A fájl  nem ment mentve.       Biztosan   be szeretné    zárni  ? 
Error! Please try again later. =	Hiba! Próbálkozzon    újra  késõbb.
Are you sure you want to reload this page? =	      Biztosan    újratölti  ezt az  oldalt?
Are you sure you want to leave this page? =	  Biztosan        elhagyja  ezt az  oldalt?
Confirm Reload =	Újratöltés megerõsítése  
Confirm Close =	Megerõsítés Bezárás  
Reload this page =	Az   oldal újratöltése 
Leave this page =	Hagyja ezt az  oldalt  
Stay on this page =	Maradj ezen  az  oldalon  
Don't reload =	Ne töltse be újra  
No connect flag only can be placed on Pin dot or the wire which is connected one Pin. =	Nincs    csatlakozási  jelzõ  csak   a  Pin-ponton  vagy  az   egy pinre csatlakoztatott  vezetéken    helyezhetõ  el. 
can not be placed on the wire which is placing No Connect Flag. =	nem   helyezhetõ  a    vezetékre,    amely   nem  kapcsol be  jelzõt. 
The footprint transfer to LCSC library class successfully =	A lábnyom  átvitele  az LCSC  könyvtári  osztályba    sikeresen  
"Device/Footprint goes into ""SMT Device/Footprint Verified"" list successfully ="	"Eszköz/Lábnyom  megy  ""SMT  eszköz  /lábnyom  ellenõrzött""  lista  sikeresen  "
	
Load failure! =	Terhelési hiba! 
Load projects failed =	A projektek betöltése nem sikerült  
error info =	hibainformáció   
error information =	hibainformáció   
Guest can't create a new project. Please login! =	A vendég nem hozhat  létre   új  projektet. Kérjük,  jelentkezzen be! 
Please create a project before you do this! =	Kérjük, hozzon létre  egy projektet,  mielõtt    ezt megtenné! 
Add Part success =	Alkatrész sikerének hozzáadása 
Click the new part and then edit it! =	Kattintson az  új  részre,  majd  szerkessze  ! 
Delete my work =	A  munkám törlése 
Delete my work. (Only deletes it from this list but not from the server) =	A   munkatörlése. (Csak  törli  ebbõl a  listából,    de  nem  a    szerverrõl)  
Do you confirm this? =	  Megerõsíti  ezt?
Successfully deleted! =	Sikeresen törölve! 
Successfully Copied! =	Sikeres másolás! 
Cloning success! =	Klónozás siker!
Your title is too short! =	A  címed túl  rövid!   
Remove this part =	Távolítsa el ezt a  részt 
Find and Jump to ... =	Keresés és  ugrás    ... 
Please type the prefix, such as U1, R1, C1 =	Írja be  az  elõtagot,  például    U1, R1, C1 
Zoom as 1:1, you can print it and then create artwork for etching the PCB. =	 Nagyítás 1:1-ként,         kinyomtathatja,   majd létrehozhat  grafikát  a NYÁK maratásához.  
Exporting your works! =	A mûvek exportálása! 
Guests can't import a file. Please login! =	A vendégek nem importálhatnak  fájlt. Kérjük,  jelentkezzen be! 
Please create a project before you import a file! =	A fájl importálása elõtt    hozzon létre  egy projektet!  
Import your LTspice file! =	Importálja a  TTspice  fájlt! 
Open LTspice file =	Tetksz fájl megnyitása 
Please make sure the selected LTspice file is a file saved in LTspice V and above. =	Gyõzõdjön    meg  arról, hogy  a  kiválasztott  TTspice fájl egy  TTspice V és annál magasabb.
Saved successfully! =	Sikeresen mentve!
Save failed! =	Mentés sikertelen!
Can not place parts into this document. =	Nem lehet alkatrészeket  helyezni  ebbe a  dokumentumba . 
User Package =	Felhasználói csomag  
System Package =	Rendszercsomag   
File error =	Fájlhiba  
Please save your file first! =	Kérjük, mentse  el a  fájlt  elõször!
Email address is too short! =	Az e-mail cím   túl  rövid!
You have not selected a file to upload. =	  Még nem  választott ki  feltölteni kívánt  fájlt . 
Update =	Frissítés 
Import.Import Changes =	Importálás.Módosítások importálása  
No changes, the PCB already matches the schematic! =	Nincs változás,  a  PCB  már  megegyezik  a  sematikus!
Only public files can be shared =	Csak nyilvános  fájlok    oszthatók  meg  
Conversion to PCB has failed! =	A PCB-re  való áttérés sikertelen!
Your username is too short! =	A felhasználóneve   túl  rövid!
Your password is too short, it must be more than 6 characters! =	A jelszó   túl   rövid, több mint  6  karakternek kell lennie !
Conflicting shortcut =	Ütközõ parancsikon  
There is an empty PCB file. Please first run Convert Schematic to PCB... from the schematic =	Van egy  üres  PCB fájl. Elõször    futtassa a Sematikus konvertálása    PCB-re...   a    sematikus  
This file has been modified, are you sure you want to run this simulation before saving it first? =	     Ez a     fájl  módosult  ,  biztosan  szeretné futtatni ezt a  szimulációt, mielõtt    elõször mentené   ? 
Please enter the Maximum Timestep! =	Kérjük, adja meg  a  maximális  idõbélyeget! 
Please enter the Stop Time! =	Kérjük, adja meg  a  Stop Time! 
All of these fields are needed. =	Mindezek a    mezõk    szükségesek. 
Either your spice netlist is too big or the server is busy. Please try again later. =	Vagy a  fûszer  netlist túl  nagy,  vagy   a  szerver  elfoglalt. Próbálkozzon    újra  késõbb.
Your spice netlist is too big! Try breaking your circuit into smaller simulatable blocks. =	A fûszer  netlist   túl  nagy! Próbálja meg  az áramkört    kisebb  simulatable  blokkokra bontani .  
Too many users in simulation. Please try again later! =	Túl sok  felhasználó a szimulációban  . Próbálkozzon    újra  késõbb! 
Due to limited server resources, please wait 10 seconds for the interval in every time simulation. =	A   korlátozott kiszolgálói  erõforrások  miatt várjon    10  másodpercet  az  intervallumra minden  alkalommal, amikor  a szimuláció.   
Your circuit is too complex, we have not enough CPU resource to support this simulation, please reduce your circuit as small as you can. =	Az áramkör   túl  bonyolult,     nincs  elég  CPU  erõforrás,  hogy  támogassa ezt a  szimulációt, kérjük,    csökkentse  az  áramkör  olyan  kicsi,    amennyire  csak lehet.
Simulation is queuing, try again after 30s. =	A szimuláció sorbanáll,  próbálkozzon  újra a 30-as évei után.    
Timeout =	Idõtúllépés 
Demo accounts don't support simulation, please login first =	A  demo fiókok nem támogatják  a  szimulációt, kérjük,   elõször jelentkezzen be  
Please login first =	Kérjük, elõször jelentkezzen be    
The schematic is showing errors, please check the simulation report carefully! =	A tervrajz hibákat mutat, kérjük,    gondosan ellenõrizze  a  szimulációs  jelentést !
Simulation too long, maybe your schematic is too complex. =	Szimuláció túl  hosszú,  talán  a  sematikus   túl  bonyolult.
Non-simulated file =	Nemszimulált  fájl 
This file can only be opened in standard mode. To open it, please switch to standard mode. =	Ez a fájl    csak  normál  módban nyitható  meg .   A  megnyitásához  váltson  normál    módra  
Load your preferences success! =	Töltse be a  beállítások sikerét!   
Save your preferences success! =	Mentse el a  beállítások sikerét!   
Update subckt ok! =	Frissítés subckt  ok! 
Clone your file =	A fájl klónozása  
Please type a new file name =	Írjon be  egy  új  fájlnevet    
Create file failure! =	Fájlhiba  létrehozása! 
Schematics and PCBs can't be imported under My Libs folder, please choose a different folder =	Sematikus és  PCB-k  nem  importálhatók   a Libs    mappában,   válasszon    másik    mappát  
Libraries to be imported under My Libs folder =	A Libs  mappa  alatt    importálandó    tárak  
Please choose only the libraries needed =	Kérjük, csak  a  szükséges  könyvtárakat  válassza ki  
Maximum import is 200 libs at one time! =	Maximális import 200 libs     egyszerre! 
You libraries will be found under the My Libs folder =	      A könyvtárak  a  Saját  libs  mappa  
Add to Library =	Hozzáadás a könyvtárhoz    
No items have been checked! =	Nem   ellenõriztek   elemeket! 
Nothing was found, please create it for yourself =	Semmit  sem találtak,  kérjük,  hozza létre      magának  
Search result =	Keresési eredmény  
At least 3 characters needed =	Legalább  3  karakter  szükséges  
Add to my Favorite Parts =	Hozzáadás a kedvenc  részeimhez     
Added it OK. Please find it in your Favorite Parts =	Hozzáadta,  rendben. Kérjük,  keresse meg   a  kedvenc  részeiben    
Please select its parent node =	Válassza ki a szülõcsomópontját      
Libraries can not be exported as active project pdf. =	A  könyvtárak nem  exportálhatók    aktív projekt pdf formátumban.  
Error:No GND =	Hiba:Nincs GND 
This circuit does not have GND. Please select GND from the circuit tool to add to the circuit. =	Ez az  áramkör  nem rendelkezik GND-rel.   Válassza a GND  lehetõséget  az  áramköri  eszközbõl  az  áramkörhözvaló     hozzáadáshoz   . 
Current circuit doesn't has Voltage Resource or Current Resource symbol, please place it first at left side EElib or Spice Library. =	Az aktuális áramkör  nem  rendelkezik  feszültségforrással  vagy  áramforrás    szimbólummal,  kérjük,    helyezze    elõször  a  bal  oldali  EElib  vagy  Spice  Libraryoldalra .
Probe can not connect with ground(GND)! =	A szonda nem  tud  csatlakozni  a talajhoz  (GND)! 
Spice symbols's attributes can't be empty. =	A fûszerszimbólumok attribútumai  nem lehetnek   üresek.   
Error:No Spice Symbol =	Hiba:Nincs Fûszerszimbólum    
Simulation limit =	Szimulációs korlát 
There is a multimeter in the circuit that needs to be simulated using the emulation command .tran or .op =	Van egy  multiméter az     áramkörben,    amelyet      szimulálni kell  az  emulációs  paranccsal  . tran  vagy  . op  
An oscilloscope exists in the circuit and needs to be simulated using the simulation command .tran =	   Oszcilloszkóp  létezik az  áramkörben,    és   szimulálni  kell  a  szimulációs  paranccsal  . tran  
There are components in this circuit that do not have a simulation model. Please use the base library component of the simulation mode for simulation. =	Vannak olyan összetevõk ebben az    áramkörben,    amelyek  nem  rendelkeznek  szimulációs   modellel. A  szimulációs  mód    alapkönyvtár-összetevõjét     használja a    szimulációhoz  . 
Circuit does not have a probe =	Az  áramkörnek  nincs   szonda  
Make sure your pin numbers are even numbers =	Gyõzõdjön  meg róla, hogy  a  PIN-számok    páros  számok  
Duplicate Components Prefix =	Összetevõk duplikálása Elõtag 
All components are hidden successfully! =	Minden összetevõ  sikeresenel van  rejtve! 
All ratlines are hidden successfully! =	Minden ratlines   van elrejtve  sikeresen!
Hidden the ratline of net {netName} successfully! =	Rejtette el a net {netName}  ratline-ját   sikeresen! 
Duplicate Component Prefix =	Összetevõ  elõtagja 
{0} exist =	{0} létezik   
There are some invalid packages, are you sure? =	Van  néhány  érvénytelen  csomag,      biztosbenne ?
Invalid Characters, library only allows [0-9a-zA-Z-_] =	Érvénytelen karakterek,  könyvtár  csak  engedélyezi  [0-9a-zA-Z-_] 
Annotation success =	Jegyzetelési siker  
If you accept this annotation operation, please save your files. If not, close your files without saving. =	Ha  elfogadja ezt a  jegyzetelési mûveletet  ,  mentse  a    fájlokat. Ha  nem,  zárja be  a  fájlokat mentés nélkül.  
This file can't be saved under libs project. Please choose other project or create a new project =	Ez a  fájl nem menthetõ    a LIBS  projekt keretében.   Válasszon    másik  projektet,  vagy  hozzon létre  egy  új projektet 
Your file is unsaved. =	A fájl nem mentett . 
You can close the editor now. Have a good day! =	Most bezárhatja    a  szerkesztõt . Jó     napot! 
Successfully logged out =	Sikeresen kijelentkezett  
You have at least one unsaved file open. Please save it or close it. =	Legalább    egy  nem mentett  fájl  nyitva van.  Mentse  el    vagy zárja   be. 
Please select a reference point =	Válasszon ki  egy  hivatkozási  pontot  
Please save your file before this operation =	Mentse   a  fájlt a   mûvelet elõtt  
Please open a PCB document =	Nyisson meg  egy PCB  dokumentumot  
Please save your file before '{0}'. =	"Kérjük, mentse  a  fájlt,  mielõtt  ""{0}"". "
Please try again after saving this file. =	A  fájl mentése után  próbálkozzon   újra.  
This text can not be empty! =	Ez a szöveg  nem lehet   üres! 
Export to Altium fail, please try again or contact us. =	Export   Altium  nem ,  kérjük,  próbálja meg  újra,  vagy lépjen kapcsolatba  velünk.
Connecting to server =	Csatlakozás a kiszolgálóhoz  
Please login before asking for help =	Kérjük, jelentkezzen be,  mielõtt  segítséget  kérne    
This file has been modified, please save it first! =	Ez a fájl  módosult  , kérjük,    mentse  el  elõször!
Remove this param =	Távolítsa el ezt a  param  
You cannot drag a part to the canvas, please click the part and move the cursor to the canvas and then right-click to place. =	Egy alkatrészt  nem  húzhat  a vászonra , kattintson  az      alkatrészre,  és  mozgassa  a  kurzort a   vászonra,  majd kattintson a   jobb gombbal  a  helyére
Undo/Redo temporary error =	Visszavonja /Redo ideiglenes hiba  
We are sorry but there is an unpredictable error in the undo/redo process. This problem will be fixed soon but in the meanwhile it is safe to continue working on your design. =	    Sajnáljuk, de van egy  kiszámíthatatlan  hiba a  visszavonási/újrado folyamat     . Ez a probléma hamarosan                  megoldódik, de közben biztonságos folytatni a munkát a  tervezésen.  
The schematic has duplicate prefixes of the components, please make them unique. You can check them using the Design Manager. =	A sematikus az   összetevõk duplikált  elõtagjaival  rendelkezik  ,kérjük,    egyedivé tegye  õket . Ellenõrizheti      õket  a Design Manager segítségével.  
Found duplicated prefix components, can not Import Changes, please modify the duplicated prefix or delete related component. =	Talált duplikált  elõtag-összetevõk  ,  nem importálhat   módosításokat,    módosítsa a duplikált  elõtagot,  vagy  törölje  a  kapcsolódó  összetevõt. 
Please click the below help button to find out how to fix this problem. =	Kérjük, kattintson  az  alábbi  súgógombra,  hogy     megtudja,   hogyan  oldja  meg ezt a problémát .
Please create a board outline! Click the help button to find out how to create a board outline. =	Kérjük, hozzon létre  egy  tábla  vázlatot! Kattintson  a  súgógombra,  hogy       megtudja, hogyan hozhat  létre  tábla    vázlatot. 
Can not fetch files from server, please check your network and try again =	Nem tud fájlokat  lekérni  a  szerverrõl, kérjük,  ellenõrizze a hálózatot,    és  próbálkozzon  újra 
Please open a schematic first! =	Elõször nyisson meg  egy   sematikust ! 
Can not find the schematic of this PCB =	Nem  található  a   PCB  sematikus   
invalid points! =	érvénytelen pontok! 
This file does not support this operation. =	Ez a  fájl  nem  támogatja  ezt a  mûveletet. 
Net Name Conflict =	Nettó névütközés   
Net name =	Nettó név  
{0} are in the same wire, please remove others and just keep one. =	{0} ugyanabban a  vezetékben   vannak, kérjük,  távolítsanak el  másokat,  és  csak  tartsanak  egyet  
This field can't be removed! =	Ez a mezõ  nem  távolítható  el!
Annular ring of the pad/via is too small =	 A   pad/via  gyûrûje  túl  kicsi  
The size of the hole cannot exceed the size of the pad =	A  furat   mérete  nem  haladhatja meg   a  párna    méretét 
Are you sure you want to create a multi-sheet designs? =	Biztos,    hogy   többlapos  terveket szeretne  létrehozni?   
Are you sure you want to create a {0}multi-sheet designs{1}? =	  Biztosan        létrehoz  egy {0}multisheet  terveket{1}? 
Please build the copper area! Click the help button to find out how to build the copper area. =	Kérem, építsék meg  a  réz  területet! Kattintson  a  súgógombra,    hogy  megtudja,   hogyan  kell  felépíteni  a  réz  területet.
Suggest to set a package for this component first! =	Javasoljuk, hogy  elõször állítson be  egy  csomagot  ehhez  az összetevõhöz !  
Please select an opened document first. =	Elõször válasszon ki  egy  megnyitott  dokumentumot  . 
Some files failed to load. Please reload the page. =	Egyes fájlok betöltése  nem sikerült    . Töltse  be újra  az  oldalt.
	
#UI Intro	#UI Intro
Skip =	Kihagyás 
« Back =	« Vissza 
Next » =	Következõ » 
Done =	Kész 
This is the user management menu. =	Ez  a  felhasználókezelés   menüje. 
This is the toolbar. =	Ez az    eszköztár.
This is the navigation list. Under here you can find projects, files, parts and libraries. =	Ez  a  navigációs  lista. Itt       található  projektek,  fájlok,  alkatrészek  és  könyvtárak.
Show or hide the toolbar to the top of the window here. =	Az   eszköztár megjelenítése vagy  elrejtése  az   ablak  tetejére   itt. 
Show, resize or hide the left sidebar to the left of the window here. =	Jelenítse meg, átméretezzék  vagy  rejtsék el  a  bal   oldalsávot    az   ablak  bal oldalán.  
Show or hide the right sidebar to the right of the window here. =	Jelenesse meg vagy  rejtse el  az         ablaktól  jobbra található  jobb  oldalsávot.  
	
#Standard libs	#Standard libs
Passive Components =	Passzív komponensek  
Power Supply =	Tápegység  
Diodes =	Diódák 
Regulator =	Szabályozó 
Transistor =	Tranzisztor 
Transformers =	Transzformátorok 
Gates =	Kapuk 
Vacuum Tubes =	Vákuumcsövek 
Switch =	Kapcsoló 
Relay =	Relé 
Capacitor(US) =	Kondenzátor(USA) 
Capacitor(EU) =	Kondenzátor(EU) 
Capacitor(EU)2 =	Kondenzátor(EU)2 
Electrolytic Capacitor(US) =	Elektrolitikus kondenzátor(USA)  
Electrolytic Capacitor(EU) =	Elektrolitikus kondenzátor(EU)  
Electrolytic Capacitor(US)2 =	Elektrolitikus kondenzátor(US)2  
Electrolytic Capacitor(EU)2 =	Elektrolitikus kondenzátor(EU)2  
Inductor(US) =	Induktor(US) 
Inductor(EU) =	Induktor(EU) 
Potentiometer_US =	Potentiometer_US 
Potentiometer_EU/IEC =	Potentiometer_EU/IEC 
Potentiometer_3D =	Potentiometer_3D 
Resistor(US) =	Ellenállás(USA) 
Resistor(EU) =	Ellenállás(EU) 
Resistor 45 Deg(US) =	Ellenállás 45  Deg(US)  
Resistor 45 Deg(EU) =	Ellenállás 45  Deg(EU)  
Variable Capacitor(US) =	Változó kondenzátor(USA)  
Variable Capacitor(EU) =	Változó kondenzátor(EU)  
Variable Resistor(US) =	Változó ellenállás(US)  
Variable Resistor(EU) =	Változó ellenállás(EU)  
Variable Inductor(US) =	Változó Induktor(US)  
Variable Inductor(EU) =	Változó induktor(EU)  
Varistor =	Varistor 
Inductor2(US) =	Induktor2(US) 
Inductor2(EU) =	Induktor2(EU) 
Battery =	Akkumulátor 
Voltage Source =	Feszültségforrás   
Current Source =	Aktuális forrás  
CCCS(Current Controlled Current Source) =	CCCS (Aktuális  ellenõrzött  áramforrás  ) 
CCCS2(Current Controlled Current Source) =	CCCS2(Aktuálisan  ellenõrzött  áramforrás  ) 
VCCS(Voltage Controlled Current Source) =	VCCS ( Feszültségvezérelt   áramforrás  ) 
VCVS(Voltage Controlled Voltage Source) =	VCVS (  Feszültségvezérelt  feszültségforrás  ) 
CCVS(Current Controlled Voltage Source) =	CCVS ( Áramvezérelt   feszültségforrás  ) 
CCVS2(Current Controlled Voltage Source) =	CCVS2 ( Áramvezérelt   feszültségforrás  ) 
	
BV(Behavioral Voltage Sources) =	BV (Viselkedési  feszültségforrások  ) 
BI(Behavioral Voltage Sources) =	BI (Viselkedési  feszültségforrások  ) 
Epoly(Non-linear Voltage Source) =	Epoly(nemlineáris  feszültségforrás  ) 
Gpoly(Non-linear Current Source) =	Gpoly(Nemlineáris  áramforrás  ) 
	
Diode =	Dióda 
LED =	LED 
LED_3D =	LED_3D 
Schottky Diode =	Schottky dióda 
Varactor Diode =	Varactor dióda  
Zener =	Zener 
